rms,mean,std,variance,max,min,peak_to_peak,kurtosis,crest_factor,dominant_frequency,spectral_energy,label
0.036934,0.000899,0.036923,0.001363,0.083991,-0.084749,0.16874,1.811753,2.274082,48.83,0.001044,HEALTHY
0.036993,0.000325,0.036991,0.001368,0.082732,-0.084785,0.167518,1.839187,2.236447,48.83,0.001059,HEALTHY
0.036703,-2.6e-05,0.036703,0.001347,0.087349,-0.086348,0.173697,1.86108,2.379902,48.83,0.001039,HEALTHY
0.037573,0.00022,0.037572,0.001412,0.083451,-0.087692,0.171143,1.818887,2.221039,48.83,0.00107,HEALTHY
0.037666,0.00045,0.037663,0.001419,0.08093,-0.079957,0.160888,1.812048,2.148628,48.83,0.001078,HEALTHY
0.03711,0.000318,0.037109,0.001377,0.079492,-0.086106,0.165597,1.825609,2.142022,48.83,0.00106,HEALTHY
0.03706,0.000742,0.037053,0.001373,0.085174,-0.080522,0.165696,1.85275,2.29825,48.83,0.001065,HEALTHY
0.036995,0.000516,0.036992,0.001368,0.081993,-0.087019,0.169011,1.797811,2.216288,48.83,0.00104,HEALTHY
0.037634,0.000858,0.037624,0.001416,0.081952,-0.085328,0.16728,1.788122,2.177596,48.83,0.001092,HEALTHY
0.037246,0.000307,0.037244,0.001387,0.093012,-0.081517,0.174529,1.827841,2.497268,48.83,0.001061,HEALTHY
0.037233,0.000224,0.037233,0.001386,0.080164,-0.086591,0.166754,1.812795,2.153008,48.83,0.001045,HEALTHY
0.036773,0.000357,0.036771,0.001352,0.077544,-0.082051,0.159596,1.795441,2.108722,48.83,0.001051,HEALTHY
0.036793,0.000632,0.036787,0.001353,0.078516,-0.079416,0.157932,1.812021,2.134012,48.83,0.001041,HEALTHY
0.037016,0.000152,0.037015,0.00137,0.08454,-0.078097,0.162637,1.806708,2.283895,48.83,0.001058,HEALTHY
0.036984,0.000326,0.036983,0.001368,0.082505,-0.083479,0.165984,1.845186,2.23082,48.83,0.001049,HEALTHY
0.037083,8.1e-05,0.037083,0.001375,0.085889,-0.085928,0.171817,1.83305,2.316088,48.83,0.001013,HEALTHY
0.037343,0.000366,0.037341,0.001394,0.080868,-0.081491,0.162359,1.839499,2.165554,48.83,0.00107,HEALTHY
0.036908,0.000169,0.036908,0.001362,0.082165,-0.084986,0.16715,1.809919,2.226187,48.83,0.001036,HEALTHY
0.037164,0.000139,0.037164,0.001381,0.078317,-0.082589,0.160906,1.775298,2.107322,48.83,0.001061,HEALTHY
0.036619,0.000863,0.036609,0.00134,0.085439,-0.091278,0.176716,1.826093,2.333177,48.83,0.001026,HEALTHY
0.036945,0.000588,0.03694,0.001365,0.082006,-0.078901,0.160907,1.821202,2.219696,48.83,0.001032,HEALTHY
0.037145,0.000606,0.03714,0.001379,0.075329,-0.089345,0.164674,1.766429,2.02795,48.83,0.001025,HEALTHY
0.03671,0.000322,0.036709,0.001348,0.081081,-0.087011,0.168092,1.831965,2.208679,48.83,0.001024,HEALTHY
0.036644,0.000214,0.036644,0.001343,0.082634,-0.088806,0.171439,1.830652,2.255016,48.83,0.001019,HEALTHY
0.037235,0.000507,0.037231,0.001386,0.07984,-0.085429,0.165268,1.795137,2.144224,48.83,0.001049,HEALTHY
0.036967,0.000583,0.036963,0.001366,0.081169,-0.086493,0.167663,1.783242,2.1957,48.83,0.001043,HEALTHY
0.037153,0.000398,0.037151,0.00138,0.080709,-0.081029,0.161738,1.835925,2.172366,48.83,0.001042,HEALTHY
0.036824,0.000206,0.036823,0.001356,0.081019,-0.077912,0.158931,1.784863,2.200186,48.83,0.001031,HEALTHY
0.036996,0.000352,0.036995,0.001369,0.083017,-0.078977,0.161994,1.817447,2.243938,48.83,0.00103,HEALTHY
0.037089,0.000857,0.037079,0.001375,0.084026,-0.08238,0.166406,1.811413,2.265535,48.83,0.001045,HEALTHY
0.037452,0.000636,0.037446,0.001402,0.091298,-0.087809,0.179107,1.857377,2.437757,48.83,0.001066,HEALTHY
0.037024,0.000763,0.037016,0.00137,0.080446,-0.086504,0.16695,1.800821,2.172798,48.83,0.001047,HEALTHY
0.036853,0.000332,0.036852,0.001358,0.087907,-0.085591,0.173498,1.802492,2.385333,48.83,0.001032,HEALTHY
0.037383,0.000617,0.037378,0.001397,0.085675,-0.077958,0.163633,1.801554,2.291786,48.83,0.001052,HEALTHY
